Time,MPOS(0),DPOS(0),DRIVE_FE(0)
0.475,158.722,158.722,-3.33786e-06
0.476,158.722,158.722,0.0
0.477,158.72201,158.722,-4.76837e-06
0.478,158.72201,158.722,-9.05991e-06
0.479,158.722,158.722,1.90735e-06
0.48,158.72201,158.722,-8.58307e-06
0.481,158.72201,158.722,-1.00136e-05
0.482,158.722,158.722,-1.90735e-06
0.483,158.722,158.722,-9.53674e-07
0.484,158.72199,158.722,4.76837e-06
0.485,158.72199,158.722,8.58307e-06
0.486,158.722,158.722,-4.29153e-06
0.487,158.72199,158.722,8.58307e-06
0.488,158.722,158.722,3.8147e-06
0.489,158.722,158.722,-4.76837e-07
0.49,158.722,158.722,-4.76837e-06
0.491,158.722,158.722,2.86102e-06
0.492,158.72199,158.722,4.76837e-06
0.493,158.72199,158.722,1.38283e-05
0.494,158.72199,158.722,1.00136e-05
0.495,158.722,158.722,3.8147e-06
0.496,158.722,158.722,0.0
0.497,158.72199,158.722,9.53674e-06
0.498,158.722,158.722,-4.29153e-06
0.499,158.72201,158.722,-5.72205e-06
0.5,158.722,158.722,-3.33786e-06
0.501,158.722,158.722,-4.76837e-06
0.502,158.722,158.722,-5.72205e-06
0.503,158.722,158.722,-4.29153e-06
0.504,158.722,158.722,-6.19888e-06
0.505,158.722,158.722,2.38419e-06
0.506,158.722,158.722,9.53674e-07
0.507,158.72201,158.722,-8.58307e-06
0.508,158.722,158.722,0.0
0.509,158.72201,158.722,-1.38283e-05
0.51,158.722,158.722,-4.29153e-06
0.511,158.722,158.722,-2.86102e-06
0.512,158.72199,158.722,5.72205e-06
0.513,158.72199,158.722,9.05991e-06
0.514,158.72199,158.722,8.58307e-06
0.515,158.722,158.722,5.72205e-06
0.516,158.722,158.722,-5.24521e-06
0.517,158.722,158.722,4.29153e-06
0.518,158.722,158.722,1.90735e-06
0.519,158.722,158.722,-3.8147e-06
0.52,158.722,158.722,9.53674e-07
0.521,158.72201,158.722,-8.10623e-06
0.522,158.72201,158.722,-3.8147e-06
0.523,158.722,158.722,3.33786e-06
0.524,158.722,158.722,1.43051e-06
0.525,158.722,158.722,4.76837e-06
0.526,158.72199,158.722,1.04904e-05
0.527,158.722,158.722,2.38419e-06
0.528,158.72199,158.722,9.53674e-06
0.529,158.72199,158.722,3.8147e-06
0.53,158.722,158.722,4.76837e-06
0.531,158.722,158.722,3.33786e-06
0.532,158.722,158.722,1.43051e-06
0.533,158.72199,158.722,5.72205e-06
0.534,158.722,158.722,3.33786e-06
0.535,158.722,158.722,4.29153e-06
0.536,158.722,158.722,1.43051e-06
0.537,158.722,158.722,2.86102e-06
0.538,158.722,158.722,0.0
0.539,158.722,158.722,4.76837e-06
0.54,158.72201,158.722,-6.19888e-06
0.541,158.72201,158.722,-8.10623e-06
0.542,158.72199,158.722,9.53674e-06
0.543,158.72199,158.722,7.15256e-06
0.544,158.722,158.722,5.72205e-06
0.545,158.722,158.722,1.90735e-06
0.546,158.72199,158.722,2.86102e-06
0.547,158.72199,158.722,1.00136e-05
0.548,158.722,158.722,9.53674e-07
0.549,158.72199,158.722,6.67572e-06
0.55,158.72201,158.722,-1.14441e-05
0.551,158.72201,158.722,-5.72205e-06
0.552,158.72201,158.722,-1.14441e-05
0.553,158.72199,158.722,1.14441e-05
0.554,158.722,158.722,-1.90735e-06
0.555,158.722,158.722,1.43051e-06
0.556,158.722,158.722,0.0
0.557,158.72199,158.722,9.53674e-06
0.558,158.722,158.722,5.24521e-06
0.559,158.722,158.722,3.8147e-06
0.56,158.722,158.722,2.86102e-06
0.561,158.72201,158.722,-5.72205e-06
0.562,158.722,158.722,-4.29153e-06
0.563,158.72199,158.722,6.67572e-06
0.564,158.722,158.722,-2.38419e-06
0.565,158.72199,158.722,1.04904e-05
0.566,158.722,158.722,4.76837e-06
0.567,158.722,158.722,3.8147e-06
0.568,158.722,158.722,1.90735e-06
0.569,158.722,158.722,-4.29153e-06
0.57,158.722,158.722,9.53674e-07
0.571,158.722,158.722,-2.38419e-06
0.572,158.72199,158.722,6.67572e-06
0.573,158.722,158.722,-1.43051e-06
0.574,158.72201,158.722,-1.57356e-05
0.575,158.72201,158.722,-3.8147e-06
0.576,158.72201,158.722,-1.09673e-05
0.577,158.722,158.722,0.0
0.578,158.722,158.722,-4.76837e-07
0.579,158.722,158.722,-3.33786e-06
0.58,158.72201,158.722,-2.86102e-06
0.581,158.72199,158.722,3.8147e-06
0.582,158.722,158.722,-1.90735e-06
0.583,158.722,158.722,-4.29153e-06
0.584,158.72201,158.722,-3.8147e-06
0.585,158.722,158.722,0.0
0.586,158.72201,158.722,-7.62939e-06
0.587,158.72201,158.722,-1.28746e-05
0.588,158.72201,158.722,-6.19888e-06
0.589,158.72201,158.722,-8.58307e-06
0.59,158.722,158.722,-4.29153e-06
0.591,158.72202,158.722,-1.95503e-05
0.592,158.72201,158.722,-9.05991e-06
0.593,158.72201,158.722,-7.15256e-06
0.594,158.72202,158.722,-2.28882e-05
0.595,158.722,158.722,-4.76837e-06
0.596,158.72201,158.722,-5.72205e-06
0.597,158.722,158.722,-1.43051e-06
0.598,158.722,158.722,4.76837e-06
0.599,158.72201,158.722,-3.8147e-06
0.6,158.72201,158.722,-6.67572e-06
0.601,158.72201,158.722,-9.05991e-06
0.602,158.722,158.722,0.0
0.603,158.722,158.722,-4.29153e-06
0.604,158.722,158.722,-1.43051e-06
0.605,158.722,158.722,9.53674e-07
0.606,158.722,158.722,-2.86102e-06
0.607,158.722,158.722,2.86102e-06
0.608,158.72201,158.722,-7.15256e-06
0.609,158.72201,158.722,-1.33514e-05
0.61,158.72201,158.722,-5.72205e-06
0.611,158.72201,158.722,-1.14441e-05
0.612,158.72201,158.722,-4.76837e-06
0.613,158.72201,158.722,-6.19888e-06
0.614,158.722,158.722,-2.38419e-06
0.615,158.72199,158.722,6.67572e-06
0.616,158.72199,158.722,7.15256e-06
0.617,158.722,158.722,2.38419e-06
0.618,158.722,158.722,9.53674e-07
0.619,158.722,158.722,-6.19888e-06
0.62,158.72199,158.722,7.15256e-06
0.621,158.72201,158.722,-4.76837e-06
0.622,158.72199,158.722,6.19888e-06
0.623,158.722,158.722,4.76837e-07
0.624,158.722,158.722,4.76837e-06
0.625,158.722,158.722,0.0
0.626,158.72199,158.722,6.67572e-06
0.627,158.72199,158.722,1.09673e-05
0.628,158.722,158.722,-1.43051e-06
0.629,158.722,158.722,-1.43051e-06
0.63,158.72201,158.722,-9.53674e-06
0.631,158.72201,158.722,-6.67572e-06
0.632,158.72201,158.722,-1.04904e-05
0.633,158.722,158.722,-3.33786e-06
0.634,158.722,158.722,4.76837e-07
0.635,158.722,158.722,-1.43051e-06
0.636,158.722,158.722,9.53674e-07
0.637,158.722,158.722,-3.33786e-06
0.638,158.72199,158.722,5.72205e-06
0.639,158.722,158.722,4.29153e-06
0.64,158.722,158.722,-5.72205e-06
0.641,158.72199,158.722,1.23978e-05
0.642,158.722,158.722,-4.76837e-06
0.643,158.722,158.722,2.38419e-06
0.644,158.722,158.722,3.8147e-06
0.645,158.722,158.722,-4.76837e-06
0.646,158.72199,158.722,6.19888e-06
0.647,158.72201,158.722,-1.52588e-05
0.648,158.72199,158.722,1.14441e-05
0.649,158.72201,158.722,-1.4782e-05
0.65,158.722,158.722,4.76837e-06
