Time,DPOS(0),MPOS(0),MSPEED(0),DRIVE_FE(0)
0.581,83.96865,83.96865,0.00048,0.0
0.582,83.96865,83.96865,0.0,0.0
0.583,83.96865,83.96865,0.00048,0.0
0.584,83.96865,83.96865,-0.00048,0.0
0.585,83.96865,83.96865,0.0,0.0
0.586,83.96865,83.96865,0.0,0.0
0.587,83.96865,83.96865,-0.00048,0.0
0.588,83.96865,83.96865,0.00048,0.0
0.589,83.96865,83.96865,0.0,0.0
0.59,83.96865,83.96865,0.0,0.0
0.591,83.96865,83.96865,0.0,0.0
0.592,83.96865,83.96865,-0.00048,0.0
0.593,83.96865,83.96865,0.0,0.0
0.594,83.96865,83.96865,0.00048,0.0
0.595,83.96865,83.96865,0.0,0.0
0.596,83.96865,83.96865,-0.00095,0.0
0.597,83.96865,83.96865,0.00095,0.0
0.598,83.96865,83.96865,0.0,0.0
0.599,83.96865,83.96865,0.00048,0.0
0.6,83.96865,83.96865,-0.00048,0.0
0.601,83.96865,83.96865,0.00048,0.0
