Time,DRIVE_FE(0),MSPEED(0),DRIVE_CURRENT(0),DPOS(0)
4.86,0.02184,136.97577,675.0,184.25114
4.87,-0.04297,126.89447,571.0,185.55114
4.88,0.0168,126.56498,767.0,186.85114
4.89,0.0292,132.936,711.0,188.15114
4.9,-0.00601,127.47622,635.0,189.45114
4.91,0.0197,126.87874,742.0,190.75114
4.92,0.04213,129.86374,743.0,192.05114
4.93,-0.00653,129.17185,638.0,193.35114
4.94,0.02309,128.91102,790.0,194.65114
4.95,0.01314,137.77351,676.0,195.95114
4.96,-0.09381,132.10011,435.0,197.25114
4.97,-0.0494,123.43407,675.0,198.55114
4.98,-0.02695,134.84764,596.0,199.85114
4.99,-0.03811,123.28339,584.0,201.15114
5.0,-0.06298,131.19173,462.0,202.45114
5.01,-0.02121,123.59571,658.0,203.75114
5.02,-0.05641,131.63376,469.0,205.05114
5.03,-0.01248,129.33302,618.0,206.35114
5.04,0.00713,128.91102,629.0,207.65114
5.05,-0.02895,136.1227,474.0,208.95114
5.06,0.02336,120.94641,747.0,210.25114
5.07,0.00931,128.5429,546.0,211.55114
5.08,-0.02581,137.1994,472.0,212.85114
5.09,-0.04152,130.66912,494.0,214.15114
5.1,-0.01111,129.93908,560.0,215.45114
5.11,-0.02512,135.25581,477.0,216.75114
5.12,-0.00415,125.2594,598.0,218.05114
5.13,0.02429,126.50013,630.0,219.35114
5.14,0.0333,140.72371,552.0,220.65114
5.15,0.00972,130.25093,611.0,221.95114
5.16,0.01257,130.55229,613.0,223.25114
5.17,0.01023,136.64484,531.0,224.55114
5.18,-0.01172,125.69523,565.0,225.85114
5.19,-0.0014,125.98944,589.0,227.15114
5.2,0.06013,127.2049,731.0,228.45114
5.21,0.03446,125.75722,620.0,229.75114
5.22,0.01728,134.82332,575.0,231.05114
5.23,0.05466,119.79246,814.0,232.35114
5.24,0.0796,134.52864,736.0,233.65114
5.25,0.04291,134.72795,695.0,234.95114
5.26,0.01178,127.23875,697.0,236.25114
5.27,0.01929,138.61656,696.0,237.55114
5.28,-0.01818,132.62177,636.0,238.85114
5.29,-0.03414,125.56791,648.0,240.15114
5.3,0.00906,129.3807,734.0,241.45114
5.31,-0.01578,130.39017,624.0,242.75114
5.32,-0.03159,133.35514,610.0,244.05114
5.33,-0.0077,133.23975,678.0,245.35114
5.34,0.03673,125.04578,809.0,246.65114
5.35,-0.01535,130.88989,577.0,247.95114
5.36,0.00345,126.11198,618.0,249.19382
5.37,-0.00155,45.59183,136.0,249.8972
5.38,0.01588,11.94811,159.0,249.99983
5.39,-0.15769,4.29726,-23.0,249.78883
5.4,-0.38977,-87.67223,-804.0,248.91535
5.41,-0.52682,-128.48616,-676.0,247.62886
5.42,-0.63611,-133.67414,-752.0,246.32886
5.43,-0.49579,-131.58321,-489.0,245.02886
5.44,-0.399,-141.93153,-517.0,243.72886
5.45,-0.33226,-139.82248,-641.0,242.42886
5.46,-0.23665,-132.9689,-607.0,241.12886
5.47,-0.1471,-136.41644,-530.0,239.82886
5.48,-0.09317,-134.73177,-566.0,238.52886
5.49,-0.09105,-132.54118,-671.0,237.22886
5.5,-0.04839,-131.12354,-589.0,235.92886
5.51,-0.04638,-130.85556,-645.0,234.62886
5.52,-0.0443,-131.19745,-648.0,233.32886
5.53,-0.01381,-132.71046,-576.0,232.02886
5.54,-0.01515,-126.69325,-668.0,230.72886
5.55,-0.01312,-132.53212,-634.0,229.42886
5.56,-0.00165,-133.16679,-604.0,228.12886
5.57,-0.00012,-127.15101,-649.0,226.82886
5.58,-0.01428,-130.56087,-665.0,225.52886
5.59,-0.01226,-131.08492,-657.0,224.22886
5.6,-0.00142,-128.74031,-641.0,222.92886
5.61,-0.01654,-132.00235,-663.0,221.62886
5.62,-0.00612,-131.6247,-644.0,220.32886
