Time,DPOS(0),MSPEED(0),DRIVE_FE(0),DEMAND_SPEED(0),DEMAND_SPEED_NORMALISED(0)
0.364,-582422455.0,0.0,0.0,0.0,0.0
0.365,-582422455.0,0.0,0.0,0.0,0.0
0.366,-582422454.0,1000.0,0.0,1.0,1000.0
0.367,-582422454.0,0.0,0.0,0.0,0.0
0.368,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.369,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.37,-582422455.0,1000.0,0.0,1.0,1000.0
0.371,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.372,-582422456.0,0.0,0.0,0.0,0.0
0.373,-582422455.0,1000.0,0.0,1.0,1000.0
0.374,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.375,-582422454.0,2000.0,0.0,2.0,2000.0
0.376,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.377,-582422455.0,0.0,0.0,0.0,0.0
0.378,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.379,-582422455.0,1000.0,0.0,1.0,1000.0
0.38,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.381,-582422455.0,1000.0,0.0,1.0,1000.0
0.382,-582422455.0,0.0,0.0,0.0,0.0
0.383,-582422455.0,0.0,0.0,0.0,0.0
0.384,-582422455.0,0.0,0.0,0.0,0.0
0.385,-582422455.0,0.0,0.0,0.0,0.0
0.386,-582422455.0,0.0,0.0,0.0,0.0
0.387,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.388,-582422455.0,1000.0,0.0,1.0,1000.0
0.389,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.39,-582422455.0,1000.0,0.0,1.0,1000.0
0.391,-582422457.0,-2000.0,0.0,-2.0,-2000.0
0.392,-582422456.0,1000.0,0.0,1.0,1000.0
0.393,-582422454.0,2000.0,0.0,2.0,2000.0
0.394,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.395,-582422454.0,1000.0,0.0,1.0,1000.0
0.396,-582422456.0,-2000.0,0.0,-2.0,-2000.0
0.397,-582422454.0,2000.0,0.0,2.0,2000.0
0.398,-582422454.0,0.0,0.0,0.0,0.0
0.399,-582422456.0,-2000.0,0.0,-2.0,-2000.0
0.4,-582422453.0,3000.0,0.0,3.0,3000.0
0.401,-582422455.0,-2000.0,0.0,-2.0,-2000.0
0.402,-582422454.0,1000.0,0.0,1.0,1000.0
0.403,-582422454.0,0.0,0.0,0.0,0.0
0.404,-582422454.0,0.0,0.0,0.0,0.0
0.405,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.406,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.407,-582422455.0,1000.0,0.0,1.0,1000.0
0.408,-582422454.0,1000.0,0.0,1.0,1000.0
0.409,-582422454.0,0.0,0.0,0.0,0.0
0.41,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.411,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.412,-582422454.0,2000.0,0.0,2.0,2000.0
0.413,-582422455.0,-1000.0,0.0,-1.0,-1000.0
