Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.26,184.96929,184.96929,8.10623e-06,-0.01001
0.261,184.96929,184.96929,6.67572e-06,0.00143
0.262,184.96929,184.96929,7.15256e-06,-0.00191
0.263,184.96929,184.96929,6.67572e-06,0.00191
0.264,184.96929,184.96929,-1.43051e-06,0.00429
0.265,184.96929,184.96929,0.0,0.00048
0.266,184.96929,184.96929,4.76837e-06,-0.00381
0.267,184.96929,184.96929,4.76837e-06,0.00191
0.268,184.96929,184.96929,-1.43051e-06,0.00238
0.269,184.96929,184.96929,4.76837e-07,0.0
0.27,184.96929,184.96929,0.0,0.0
0.271,184.9693,184.96929,-2.38419e-06,0.00525
0.272,184.9693,184.96929,-5.24521e-06,0.00191
0.273,184.96931,184.96929,-1.52588e-05,0.00811
0.274,184.9693,184.96929,-9.53674e-06,-0.00572
0.275,184.9693,184.96929,-9.05991e-06,-0.00286
0.276,184.96931,184.96929,-1.33514e-05,0.00954
0.277,184.9693,184.96929,-5.24521e-06,-0.01049
0.278,184.96931,184.96929,-1.38283e-05,0.00715
0.279,184.96929,184.96929,1.09673e-05,-0.02003
0.28,184.96929,184.96929,1.90735e-06,0.00429
0.281,184.96928,184.96929,1.23978e-05,-0.00763
0.282,184.96929,184.96929,4.76837e-07,0.00906
0.283,184.96929,184.96929,1.43051e-06,0.0
0.284,184.9693,184.96929,-3.8147e-06,0.00477
0.285,184.96929,184.96929,1.90735e-06,-0.00572
0.286,184.96929,184.96929,4.29153e-06,-0.00477
0.287,184.9693,184.96929,-2.86102e-06,0.00906
0.288,184.96929,184.96929,4.29153e-06,-0.0062
0.289,184.96929,184.96929,0.0,0.00429
0.29,184.96929,184.96929,2.86102e-06,-0.00238
0.291,184.96929,184.96929,4.76837e-06,0.00048
0.292,184.96929,184.96929,-2.38419e-06,0.00286
0.293,184.96929,184.96929,-1.90735e-06,-0.00143
0.294,184.96929,184.96929,0.0,0.00095
0.295,184.9693,184.96929,-8.58307e-06,0.0062
0.296,184.9693,184.96929,0.0,-0.00525
0.297,184.9693,184.96929,-6.19888e-06,0.00334
0.298,184.9693,184.96929,-6.19888e-06,0.0
0.299,184.9693,184.96929,-8.10623e-06,0.00191
0.3,184.96929,184.96929,5.72205e-06,-0.01383
0.301,184.9693,184.96929,-4.76837e-06,0.01097
0.302,184.96929,184.96929,6.67572e-06,-0.01001
0.303,184.96929,184.96929,8.10623e-06,-0.00238
0.304,184.96929,184.96929,-1.43051e-06,0.00954
0.305,184.9693,184.96929,-4.76837e-06,0.00238
0.306,184.96929,184.96929,5.24521e-06,-0.00763
0.307,184.96929,184.96929,3.33786e-06,0.00095
0.308,184.96929,184.96929,4.76837e-06,-0.00095
0.309,184.96928,184.96929,1.04904e-05,-0.00525
0.31,184.96929,184.96929,-9.53674e-07,0.01001
0.311,184.9693,184.96929,-5.24521e-06,0.00525
0.312,184.96929,184.96929,5.72205e-06,-0.00954
0.313,184.9693,184.96929,-2.86102e-06,0.00525
0.314,184.96928,184.96929,9.53674e-06,-0.01335
0.315,184.9693,184.96929,-4.29153e-06,0.01764
