Time,DRIVE_CURRENT(0),MSPEED(0),DRIVE_FE(0),DPOS(0)
0.583,8.0,0.00095,0.0,162.40646
0.584,-3.0,-0.00048,0.0,162.40646
0.585,6.0,0.00048,0.0,162.40646
0.586,0.0,0.0,0.0,162.40646
0.587,0.0,-0.00048,0.0,162.40646
0.588,4.0,0.00048,0.0,162.40646
0.589,14.0,-0.00048,0.0,162.40646
0.59,5.0,0.0,0.0,162.40646
0.591,10.0,0.00048,0.0,162.40646
0.592,3.0,0.0,0.0,162.40646
0.593,3.0,0.00048,0.0,162.40646
0.594,1.0,-0.00048,0.0,162.40646
0.595,4.0,0.0,0.0,162.40646
0.596,2.0,0.00048,0.0,162.40646
0.597,6.0,0.0,0.0,162.40646
0.598,-2.0,-0.00048,0.0,162.40646
0.599,10.0,0.0,0.0,162.40646
0.6,3.0,0.0,0.0,162.40646
0.601,4.0,-0.00048,0.0,162.40646
0.602,1.0,0.00048,0.0,162.40646
0.603,8.0,0.00048,0.0,162.40646
0.604,2.0,-0.00095,0.0,162.40646
0.605,0.0,0.0,0.0,162.40646
0.606,1.0,0.00048,0.0,162.40646
0.607,8.0,0.00048,0.0,162.40646
0.608,6.0,-0.00095,0.0,162.40646
0.609,3.0,0.00095,0.0,162.40646
0.61,7.0,-0.00095,0.0,162.40646
0.611,11.0,0.00048,0.0,162.40646
0.612,6.0,0.0,0.0,162.40646
0.613,0.0,0.0,0.0,162.40646
0.614,7.0,0.00048,0.0,162.40646
0.615,1.0,-0.00095,0.0,162.40646
0.616,5.0,0.00095,0.0,162.40646
0.617,-2.0,-0.00095,0.0,162.40646
0.618,-1.0,0.0,0.0,162.40646
0.619,6.0,0.00048,0.0,162.40646
0.62,3.0,0.0,0.0,162.40646
0.621,11.0,0.00048,0.0,162.40646
0.622,2.0,-0.00048,0.0,162.40646
0.623,5.0,0.0,0.0,162.40646
0.624,3.0,-0.00048,0.0,162.40646
0.625,3.0,0.00095,0.0,162.40646
0.626,3.0,0.00048,0.0,162.40646
